agency,band,n,rate
Air Force,<$5M,1827,0.4395183360700602
Air Force,$5-25M,406,0.46551724137931033
Air Force,>$25M,125,0.504
Army,<$5M,3570,0.419327731092437
Army,$5-25M,911,0.3699231613611416
Army,>$25M,365,0.4136986301369863
DHS,<$5M,613,0.5285481239804242
DHS,$5-25M,71,0.43661971830985913
GSA,<$5M,312,0.3974358974358974
GSA,$5-25M,33,0.36363636363636365
HHS,<$5M,756,0.4351851851851852
HHS,$5-25M,97,0.4639175257731959
HHS,>$25M,33,0.5454545454545454
Navy,<$5M,2319,0.35446313065976714
Navy,$5-25M,342,0.4298245614035088
Navy,>$25M,243,0.41975308641975306
VA,<$5M,1927,0.4203425012973534
VA,$5-25M,222,0.49099099099099097
